"Variables","Estimate","Std. Error","t value","Pr(>|t|)","significance","impact"
"CompanyCommvault",-0.0429553037043777,0.194951449122486,-0.220338468360855,0.825609759724383,"",-4.20457938854467
"CompanyCompass",0.5362159470173,0.148564815352409,3.60930645486516,0.000307748908139371,"***",70.9525671617632
"CompanyConfluent",0.277674551880644,0.238579718394124,1.16386486558735,0.244492342587396,"",32.0056517382616
"CompanyConstant Contact",-0.0781066126862696,0.177987252119864,-0.4388326228761,0.660787450910202,"",-7.51341811421699
"CompanyConvoy",0.252050995391722,0.168842303566889,1.49281898000088,0.135499986398151,"",28.6661649426694
"CompanyCornerstone Ondemand",0.261750062729029,0.173191567092598,1.51133260771919,0.130719163510906,"",29.9201782898259
"CompanyCostar Group",-0.0536902910682769,0.177966763605966,-0.301687180125116,0.76289360605652,"",-5.22744198692606
"CompanyCoupang",0.575325533144269,0.172800114779009,3.32942795715179,0.000871781888639015,"***",77.7709135975346
"CompanyCoursera",0.326417829169889,0.19484067003923,1.67530643938028,0.09388939329161,".",38.5994356776907
"CompanyCox Automotive",0.154768012825653,0.159288568342428,0.971620339338748,0.331250938444971,"",16.7387110852232
"CompanyCredit Karma",0.575819097529952,0.149430611562424,3.85342127365519,0.000116834023323132,"***",77.8586766458724
"CompanyCredit Suisse",-0.0274795670385648,0.238777581032188,-0.115084368137813,0.908379378565075,"",-2.71054385325843
"CompanyCriteo",0.160554350252109,0.194887050913132,0.823832827783275,0.410044148364435,"",17.4161587384731
"CompanyCrowdstrike",0.28080295711068,0.168793708900036,1.66358662855722,0.0962103703009761,".",32.4192655480231
"CompanyCruise",0.69586713267453,0.142042600421766,4.8990030498477,9.70594492171054e-07,"***",100.544730908077
"CompanyDatabricks",0.583514022265895,0.157688129040176,3.70043088099058,0.000215797320664955,"***",79.232564980762
"CompanyDatadog",0.480207449035926,0.157840556525998,3.04235780464213,0.00235029933267665,"**",61.6409690045982
"CompanyDell",0.0919823135112694,0.141635737901333,0.649428702629744,0.516068601931724,"",9.63454314082235
"CompanyDeloitte",-0.00471344289876175,0.140738646914622,-0.0334907504235217,0.973283568258281,"",-0.470235205897074
"CompanyDeutsche Bank",-0.107067732806596,0.308155049199484,-0.34744760173404,0.728258648519896,"",-10.1535184614273
"CompanyDigitalocean",0.257583418862401,0.172912947174254,1.48967109214106,0.136326142817651,"",29.3799733780822
"CompanyDish Network",-0.190177220391636,0.184922890211212,-1.02841362783387,0.303767449897169,"",-17.3187407092809
"CompanyDisney",0.131814872469883,0.143876214689922,0.916168615875577,0.359589254256945,"",14.0897088255435
"CompanyDocker",0.382346344934028,0.168907025118731,2.26364974852445,0.0236060855569136,"*",46.571964180569
"CompanyDocusign",0.502176092427449,0.145758181079671,3.44526865461473,0.000571635577148192,"***",65.2312947064814
"CompanyDoordash",0.725436603461251,0.144023848572119,5.03692000077328,4.77103072867963e-07,"***",106.563276553211
"CompanyDrift.Com",-0.106035583992043,0.184897462043455,-0.573483177217013,0.566323885283148,"",-10.0607356474168
"CompanyDropbox",0.718094830622677,0.140047731243617,5.12750063314865,2.96287838015759e-07,"***",105.052289349422
"CompanyEbay",0.373464919437777,0.139498783347068,2.67719123046838,0.00743014232316277,"**",45.2759599026055
"CompanyElastic",0.361375117782456,0.210548658991084,1.71634965292161,0.0861131920839452,".",43.530176712416
"CompanyElectronic Arts",0.40390020764989,0.155163025492953,2.60306994122277,0.00924597221435345,"**",49.765448503997
"CompanyElsevier",-0.0639141581723554,0.210568566165324,-0.303531335831837,0.761488054835717,"",-6.19144769496774
"CompanyEpam",-0.182780951469498,0.147032936348166,-1.24312930156467,0.213834425011406,"",-16.7049407641639
"CompanyEpic",0.081900187818946,0.146509726733198,0.559008535782002,0.576162008846667,"",8.53474735244637
"CompanyEricsson",-0.163842913856607,0.163163228675709,-1.00416567621525,0.315310630773236,"",-15.1124642036489
"CompanyErnst And Young",-0.000513478002468751,0.14746158146583,-0.00348211376390084,0.997221714728435,"",-0.051334619520027
"CompanyEsri",-0.145410160199331,0.172751195357832,-0.841731716519432,0.399947972187518,"",-13.5332431853423
"CompanyEtsy",0.423073384324751,0.161120888238002,2.62581338119117,0.00865064866747543,"**",52.6646323765468
"CompanyEvernote",0.314340598155513,0.172818420778758,1.81890678516227,0.0689402538823598,".",36.9356057276226
"CompanyExpedia",0.199498031745129,0.139755294431084,1.4274810307348,0.153456540376256,"",22.0789806603144
"CompanyExperian",0.140980459235723,0.210472234391959,0.66982925155428,0.502974198205818,"",15.1402148486945
"CompanyExxonmobil",-0.0294546593403114,0.157824245863906,-0.186629495227941,0.85195298829733,"",-2.90250987142784
"CompanyEy",0.0854356582895523,0.153307814292481,0.557281823394583,0.577340984715837,"",8.91914786467283
"CompanyF5 Networks",0.105023450908639,0.15507640416153,0.677236820627109,0.498263361334897,"",11.0736657834171
"CompanyFacebook",0.80625762626537,0.138338902918938,5.82813372994443,5.689158567606e-09,"***",123.951119663253
"CompanyFactset",-0.0930493083079888,0.156321218503047,-0.595244261777392,0.55168678658016,"",-8.8851428005931
"CompanyFannie Mae",0.0576109795131829,0.178034217216362,0.323594983110292,0.746247991798844,"",5.93028250433838
"CompanyFeedzai",0.331505826896995,0.185141270875707,1.79055607282478,0.0733793305129768,".",39.3064263496655
"CompanyFico",0.0335730494089548,0.194867892226278,0.172286203875856,0.863214232768167,"",3.41429845009331
"CompanyFidelity Investments",-0.262651053481065,0.194904349306796,-1.34758949410426,0.177805363043137,"",-23.0989806071951
"CompanyFis",-0.00891502800237988,0.168849617121688,-0.0527986272894829,0.957892870352419,"",-0.887540696853362
"CompanyFiserv",-0.0146569108031976,0.195116521227081,-0.0751187583246196,0.940120956914668,"",-1.45500211473271
"CompanyFitbit",0.293680318464205,0.160949364872109,1.82467522439473,0.0680646194514336,".",34.1355028683301
"CompanyFlatiron Health",0.475556426304274,0.165849375836566,2.86739955399594,0.00414282550136856,"**",60.8909187857911
"CompanyFlexport",0.602557123529498,0.155201222959975,3.8824250997358,0.00010374440120918,"***",82.6784145638403
"CompanyFlipkart",-0.556929822812148,0.30808729282608,-1.80770137483906,0.0706676601152691,".",-42.7034528251786
"CompanyFord",0.227514323650309,0.169056840403491,1.34578596824178,0.178386454022666,"",25.5475422616263
"CompanyFortinet",0.0917535805950093,0.177835751519986,0.515945639787157,0.605897948137204,"",9.60946897979922
"CompanyGarmin",-0.219403979238846,0.210677766091465,-1.04141971556502,0.297693093348935,"",-19.7002741600707
"CompanyGe",0.0997221066013788,0.148925418008845,0.669611057230379,0.50311331467024,"",10.4863841042483
